meeting identifier	false_negatives_count	false_positives_count	true_positives_count	precision	recall	F1
20140714	6	8	9	0.5294117647058824	0.6	0.5625
20140723	1	6	2	0.25	0.6666666666666666	0.36363636363636365
20140904	5	19	10	0.3448275862068966	0.6666666666666666	0.4545454545454545
20140915	0	18	7	0.28	1.0	0.43750000000000006
20140925	4	30	8	0.21052631578947367	0.6666666666666666	0.32
20141016	2	15	3	0.16666666666666666	0.6	0.2608695652173913
20141106	3	17	11	0.39285714285714285	0.7857142857142857	0.5238095238095237
20141120	6	15	12	0.4444444444444444	0.6666666666666666	0.5333333333333333
20141211	0	1	6	0.8571428571428571	1.0	0.923076923076923
